Company,ATS,Token,Tenant,Note,Referral
# 485 live boards. NOTE: rows added before 2026-09 were slugified from company
# names and never verified - ~230 of them 404 and are dead weight. Every row
# added from 2026-09-14 on was probed against the live API first. Do the same
# for anything you add: a guessed slug is worse than a missing row.
# Tokens are CASE-SENSITIVE on Lever and Ashby. Do not change capitalisation.
# Expect some 404s: slugs go stale. Check fetch_errors.log and delete dead rows.
#
#
# ===== GREENHOUSE =====
6sense,greenhouse,6sense,
Abnormal Security,greenhouse,abnormalsecurity,
# DEAD-404 Absolutdata,greenhouse,absolutdata,
Agoda,greenhouse,agoda,
Apollo.io,greenhouse,apolloio,
Arcesium,greenhouse,arcesiumllc,
# DEAD-404 Artoo,greenhouse,artoo,
# DEAD-404 Arya.ai,greenhouse,arya-ai,
Atomicwork,greenhouse,atomicwork,
# DEAD-404 Avail Finance,greenhouse,availfinance,
# DEAD-404 Axtria,greenhouse,axtria,
# DEAD-404 BharatPe,greenhouse,bharatpe,
Boomi,greenhouse,boomilp,
# DEAD-404 BrowserStack,greenhouse,browserstack,
C3 AI,greenhouse,c3iot,
# DEAD-404 Cashfree,greenhouse,cashfree,
# DEAD-404 Chargebee,greenhouse,chargebee,
ChargePoint,greenhouse,chargepoint,
# DEAD-404 Classplus,greenhouse,classplus,
# DEAD-404 Clevertap,greenhouse,clevertap,
Conga,greenhouse,conga,
Coupang,greenhouse,coupang,
# dup of verified lever/cred -> Cred Avenue,greenhouse,credavenue,
# DEAD-404 Darwinbox,greenhouse,darwinbox,
Databricks,greenhouse,databricks,
# DEAD-404 DataWeave,greenhouse,dataweave,
DoorDash India,greenhouse,doordashindia,
Druva,greenhouse,druva,
# DEAD-404 Dunzo,greenhouse,dunzo,logistics/commerce
EarnIn,greenhouse,earnin,
Easyship,greenhouse,easyship,,,yes
# DEAD-404 Eka Plus,greenhouse,ekaplus,
# DEAD-404 ElasticRun,greenhouse,elasticrun,
Emergent Labs,greenhouse,emergentlabsinc,
# DEAD-404 Exotel,greenhouse,exotel,
# DEAD-404 Ezetap,greenhouse,ezetap,
Fampay,lever,fampay,
Flexport,greenhouse,flexport,
# DEAD-404 Flutura,greenhouse,flutura,
# DEAD-404 Fractal Analytics,greenhouse,fractal,
# DEAD-404 Freo,greenhouse,freo,
# DEAD-404 Freshworks,greenhouse,freshworks,
GitLab,greenhouse,gitlab,
Glean,greenhouse,gleanwork,
GoDaddy,greenhouse,godaddy,
# DEAD-404 Gojek India,greenhouse,gojek,
Graviton Research,greenhouse,gravitonresearchcapital,
# DEAD-404 Great Learning,greenhouse,greatlearning,
# DEAD-404 Gupshup,greenhouse,gupshup,
# DEAD-404 Happay,greenhouse,happay,
# DEAD-404 Happiest Minds,greenhouse,happiestminds,
Harness,greenhouse,harnessinc,
# DEAD-404 Hasura,greenhouse,hasura,
Headout,greenhouse,headoutcareers,
# DEAD-404 Healthplix,greenhouse,healthplix,
# DEAD-404 Helpshift,greenhouse,helpshift,
HubSpot,greenhouse,hubspotjobs,
# DEAD-404 iNeuron,greenhouse,ineuron,
InMobi,greenhouse,inmobi,
# DEAD-404 Innovaccer,greenhouse,innovaccer,
Ivalua,greenhouse,ivalua,
# DEAD-404 Juspay,greenhouse,juspay,
# DEAD-404 Kapture CRM,greenhouse,kapture,
# DEAD-404 Konversai,greenhouse,konversai,
# DEAD-404 Kredx,greenhouse,kredx,
# DEAD-404 LatentView Analytics,greenhouse,latentview,
# DEAD-404 LeadSquared,greenhouse,leadsquared,
# DEAD-404 Lenskart,greenhouse,lenskart,logistics/commerce
# DEAD-404 Mad Street Den,greenhouse,madstreetden,
# DEAD-404 Mamaearth,greenhouse,mamaearth,
Mesh,greenhouse,mesh,
# DEAD-404 Mintifi,greenhouse,mintifi,logistics/commerce
# DEAD-404 MoEngage,greenhouse,moengage,
Moloco,greenhouse,moloco,
# DEAD-404 Moxo,greenhouse,moxo,
# DEAD-404 Mu Sigma,greenhouse,mu-sigma,
# DEAD-404 Navi Technologies,greenhouse,navi,
# DEAD-404 Netcore Cloud,greenhouse,netcorecloud,
# DEAD-404 Niramai,greenhouse,niramai,
Nirmata,greenhouse,nirmata,,,
# DEAD-404 Niyo,greenhouse,niyo,
# DEAD-404 Numberz,greenhouse,numberz,
